,mean,std,max,min
Jan,17.584970604452398,3.2310299990627906,22.677917,12.150879
Feb,17.295569497904378,3.212741064821882,22.376984,11.898285
Mar,16.92824521998291,3.195206786802675,21.998383,11.5668335
Apr,16.560126290841463,3.1827800639177615,21.621735,11.223877
May,16.274787823291604,3.178373469449484,21.3349,10.945496
Jun,16.14364647558484,3.184074071899547,21.220886,10.806641
Jul,16.215986730925643,3.2009546977084966,21.32965,10.859222
Aug,16.492481555982163,3.2286039858102935,21.643982,11.09491
Sep,16.897756682350465,3.2562828443957548,22.068878,11.448822
Oct,17.307183085509475,3.2737588452683157,22.479675,11.817902
Nov,17.58594719485267,3.278940328014829,22.746307,12.076935
Dec,17.655491881053653,3.27417468990492,22.802032,12.14917
