,mean,std,max,min
Jan,-3.2587996017814103,8.650850383415577,8.94339,-17.232437
Feb,-1.8658140114415622,8.304151986094078,9.869141,-15.095703
Mar,1.3373281903598482,8.2093297912469,12.233368,-12.934326
Apr,4.712243688225042,8.138173288448879,15.108704,-9.393951
May,10.74465742220388,7.798068828560977,20.78833,-3.513153
Jun,17.250804437240888,7.677019701618981,27.262177,3.30365
Jul,19.94759488498653,8.152426302031074,29.951141,5.6325073
Aug,20.890879132810017,8.013101714338623,30.168701,6.7442627
Sep,16.38054395385119,7.680334085175744,25.836151,2.7726135
Oct,9.429597862801025,7.658052418406163,19.96051,-3.612091
Nov,2.8796496019205917,7.987365442423596,14.699341,-10.186676
Dec,-1.4232588926891108,8.289774588415343,10.736938,-14.611603
